City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.09,77,100,21.18,TF,1718063590
1,port blair,11.6667,92.75,28.02,89,75,6.17,IN,1718063590
2,nambucca heads,-30.65,153.0,17.0,54,30,1.17,AU,1718063590
3,pangai,-19.8,-174.35,27.06,57,40,5.66,TO,1718063590
4,aldinga beach,-35.2793,138.4604,17.07,87,98,8.5,AU,1718063590
5,port alfred,-33.5906,26.891,17.63,50,12,4.01,ZA,1718063590
6,margaret river,-33.95,115.0667,14.98,64,100,3.12,AU,1718063590
7,aral,40.5156,81.2636,26.06,26,0,2.12,CN,1718063590
8,las heras,-46.5419,-68.9359,5.19,96,100,6.14,AR,1718063479
9,tiksi,71.6872,128.8694,2.93,78,26,4.03,RU,1718063590
10,bethel,41.3712,-73.414,21.63,61,44,0.45,US,1718063485
11,misratah,32.3754,15.0925,27.03,47,24,6.97,LY,1718063590
12,zaozersk,69.4005,32.4476,9.6,90,100,0.74,RU,1718063590
13,puerto ayora,-0.7393,-90.3518,22.53,94,53,1.34,EC,1718063590
14,yellowknife,62.456,-114.3525,15.23,78,75,2.06,CA,1718063590
15,ilulissat,69.2167,-51.1,2.01,80,40,4.63,GL,1718063590
16,adamstown,-25.066,-130.1015,22.72,80,100,6.79,PN,1718063590
17,west island,-12.1568,96.8225,25.99,94,100,8.23,CC,1718063590
18,karasu,41.071,30.7854,21.68,75,57,1.38,TR,1718063590
19,lorengau,-2.0226,147.2712,28.75,80,98,3.54,PG,1718063591
20,ushuaia,-54.8,-68.3,-5.19,86,0,1.54,AR,1718063435
21,saynshand,44.8824,110.1163,20.1,53,60,4.41,MN,1718063591
22,tura,25.5198,90.2201,24.78,97,15,2.74,IN,1718063591
23,ribeira grande,38.5167,-28.7,19.87,82,81,2.68,PT,1718063591
24,masterton,-40.9597,175.6575,13.27,59,0,3.02,NZ,1718063591
25,usinsk,65.9939,57.5281,3.93,91,93,2.68,RU,1718063591
26,thinadhoo,0.5333,72.9333,28.24,71,72,2.91,MV,1718063591
27,parral,26.9333,-105.6667,31.44,12,5,4.07,MX,1718063400
28,stanley,54.868,-1.6985,7.38,92,20,2.57,GB,1718063591
29,namsos,64.4662,11.4957,10.03,93,100,1.03,NO,1718063591
30,ust-tsilma,65.441,52.1498,6.45,84,93,3.13,RU,1718063591
31,martuk,50.7475,56.5056,18.32,73,66,1.65,KZ,1718063591
32,albany,42.6001,-73.9662,16.31,76,73,0.45,US,1718063343
33,iskateley,67.6803,53.1512,3.34,88,32,3.58,RU,1718063591
34,karkira,36.9292,6.5856,18.92,90,54,1.04,DZ,1718063591
35,port mathurin,-19.6833,63.4167,24.26,73,52,9.42,MU,1718063591
36,grand-bassam,5.2118,-3.7388,25.98,88,100,3.25,CI,1718063591
37,loukhi,66.0764,33.0381,6.35,95,65,2.2,RU,1718063591
38,whitehorse,60.7161,-135.0538,21.68,30,75,3.6,CA,1718063591
39,waitangi,-43.9535,-176.5597,11.01,93,100,0.89,NZ,1718063591
40,taltal,-25.4,-70.4833,17.28,71,19,2.81,CL,1718063376
41,punta arenas,-53.15,-70.9167,3.06,93,100,4.12,CL,1718063591
42,camana,-16.6228,-72.7111,16.59,87,38,2.35,PE,1718063592
43,belvedere,33.531,-81.9448,28.66,67,0,4.12,US,1718063592
44,terrace,54.5163,-128.6035,13.95,67,75,7.72,CA,1718063592
45,porangatu,-13.4408,-49.1486,24.13,41,7,1.8,BR,1718063524
46,blackmans bay,-43.0167,147.3167,12.63,80,100,1.34,AU,1718063592
47,arraial do cabo,-22.9661,-42.0278,17.98,94,0,0.51,BR,1718063592
48,timizart,36.8,4.2667,19.03,52,100,1.27,DZ,1718063592
49,st. john's,47.5649,-52.7093,16.66,95,100,6.17,CA,1718063476
50,port elizabeth,-33.918,25.5701,10.16,81,0,2.06,ZA,1718063592
51,hemsby,52.6971,1.6918,8.36,91,25,4.18,GB,1718063592
52,papatowai,-46.5619,169.4708,8.04,67,66,8.42,NZ,1718063592
53,hovd,48.0056,91.6419,20.25,39,37,1.1,MN,1718063592
54,mount isa,-20.7333,139.5,21.87,30,3,3.6,AU,1718063592
55,takai,11.5833,9.1167,26.86,66,91,5.24,NG,1718063592
56,malkapur,20.8833,76.2,30.01,59,98,4.36,IN,1718063592
57,khurba,50.4072,136.8819,7.7,94,84,4.47,RU,1718063592
58,edinburgh of the seven seas,-37.0676,-12.3116,14.85,77,16,12.37,SH,1718063592
59,badger,64.8,-147.5333,21.95,52,75,2.06,US,1718063592
60,ulysses,37.5814,-101.3552,26.53,50,0,6.17,US,1718063592
61,callao,-12.0667,-77.15,20.4,68,0,5.14,PE,1718063022
62,al jabin,14.704,43.599,25.11,44,3,0.39,YE,1718063592
63,al-hamdaniya,36.2715,43.3737,27.51,33,71,3.6,IQ,1718063592
64,kolonia town,6.964,158.206,30.06,79,75,5.14,FM,1718063592
65,ust-nera,64.5667,143.2,15.7,33,82,1.31,RU,1718063593
66,kruisfontein,-34.0033,24.7314,13.6,50,45,3.3,ZA,1718063593
67,monywa,22.1167,95.1333,30.92,65,88,5.48,MM,1718063593
68,invercargill,-46.4,168.35,6.12,90,87,3.58,NZ,1718063593
69,ojuelos de jalisco,21.8667,-101.5833,26.26,28,87,6.14,MX,1718063593
70,chaman,30.9236,66.4512,24.52,9,0,2.01,PK,1718063593
71,badagry,6.4167,2.8833,26.11,90,69,4.0,NG,1718063593
72,kouroussa,10.65,-9.8833,26.98,64,94,1.13,GN,1718063593
73,thousand palms,33.82,-116.3903,41.35,11,0,3.13,US,1718063523
74,iqaluit,63.7506,-68.5145,0.85,74,75,2.06,CA,1718063317
75,howrah,22.5892,88.3103,30.0,89,40,3.6,IN,1718063593
76,carnarvon,-24.8667,113.6333,19.92,67,82,3.38,AU,1718063593
77,codrington,-38.2667,141.9667,14.07,82,100,8.18,AU,1718063593
78,kiunga,-6.1219,141.2906,24.7,97,100,1.23,PG,1718063593
79,mount pearl,47.5166,-52.7813,16.19,95,100,6.17,CA,1718063385
80,ponta delgada,37.7333,-25.6667,18.44,72,75,1.54,PT,1718063593
81,massawa,15.6097,39.45,31.16,70,26,1.42,ER,1718063593
82,forster,-32.1667,152.5167,14.6,72,24,1.38,AU,1718063593
83,tazovsky,67.4667,78.7,11.56,60,100,5.6,RU,1718063593
84,petropavlovka,50.6114,105.3196,14.62,89,92,0.92,RU,1718063593
85,motilla del palancar,39.5709,-1.9068,16.45,91,39,0.89,ES,1718063593
86,praia da vitoria,38.7333,-27.0667,19.31,77,40,2.67,PT,1718063594
87,aydincik,36.1437,33.3202,27.3,46,0,4.07,TR,1718063594
88,grytviken,-54.2811,-36.5092,-7.63,72,50,3.44,GS,1718063594
89,fada,9.5667,8.3,20.78,93,95,0.47,NG,1718063594
90,vilyuchinsk,52.9306,158.4028,17.15,77,100,3.18,RU,1718063594
91,kodiak,57.79,-152.4072,7.73,100,100,7.2,US,1718063594
92,abepura,-2.6333,140.5833,27.45,89,20,2.06,ID,1718063594
93,portland,45.5234,-122.6762,28.15,32,20,4.12,US,1718063577
94,kingston,17.997,-76.7936,29.53,79,20,8.75,JM,1718063578
95,borogontsy,62.6683,131.1683,20.21,39,60,1.94,RU,1718063594
96,nganjuk,-7.6051,111.9035,25.34,88,29,1.73,ID,1718063594
97,brookings,44.3114,-96.7984,24.19,39,0,4.63,US,1718063432
98,dabakala,8.3667,-4.4333,24.58,89,73,3.47,CI,1718063594
99,mermoz boabab,14.7065,-17.4758,25.88,83,40,2.06,SN,1718063594
100,colonia,50.9333,6.95,11.44,81,75,7.2,DE,1718063594
101,fale old settlement,-9.3852,-171.2468,29.37,73,64,5.88,TK,1718063594
102,jamestown,42.097,-79.2353,12.79,83,100,2.57,US,1718063594
103,sao joao da barra,-21.6403,-41.0511,21.05,85,37,5.48,BR,1718063594
104,thompson,55.7435,-97.8558,19.09,42,75,4.63,CA,1718063594
105,naracoorte,-36.9579,140.7383,14.6,86,100,8.52,AU,1718063595
106,tralee,52.2704,-9.7026,7.94,89,79,2.18,IE,1718063475
107,midvagur,62.0511,-7.1939,5.46,75,75,5.66,FO,1718063595
108,naze,28.3667,129.4833,21.51,94,100,3.55,JP,1718063595
109,bredasdorp,-34.5322,20.0403,14.14,49,97,2.33,ZA,1718063595
110,bilibino,68.0546,166.4372,13.06,43,100,1.35,RU,1718063595
111,sangueya,10.7,-14.3667,26.13,91,82,1.71,GN,1718063595
112,margate,51.3813,1.3862,10.17,75,8,0.45,GB,1718063595
113,pavia,45.1845,9.1615,21.2,94,80,1.86,IT,1718063595
114,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,1718063533
115,udachny,66.4167,112.4,17.47,40,71,2.65,RU,1718063595
116,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.0,GF,1718063595
117,pisco,-13.7,-76.2167,18.03,88,40,3.6,PE,1718063595
118,khanty-mansiysk,61.0042,69.0019,14.06,72,0,2.0,RU,1718063595
119,vila franca do campo,37.7167,-25.4333,18.27,99,87,1.93,PT,1718063595
120,puerto natales,-51.7236,-72.4875,0.82,97,100,1.65,CL,1718063191
121,luderitz,-26.6481,15.1594,19.03,51,65,2.84,NA,1718063595
122,nova sintra,14.8667,-24.7167,24.3,79,0,6.41,CV,1718063595
123,camden,39.7835,-74.9663,23.97,51,20,2.72,US,1718063596
124,vernon,50.2581,-119.2691,29.4,24,15,2.68,CA,1718063596
125,lebu,-37.6167,-73.65,12.41,92,100,11.7,CL,1718063388
126,chonchi,-42.6128,-73.8092,10.62,94,99,3.62,CL,1718063596
127,avarua,-21.2078,-159.775,23.03,56,75,3.09,CK,1718063596
128,zhangye,38.9342,100.4517,22.94,28,50,0.67,CN,1718063596
129,kolonia,50.9333,6.95,11.44,81,75,7.2,DE,1718063594
130,dunedin,-45.8742,170.5036,9.33,53,26,2.68,NZ,1718063596
131,belmonte,-15.8631,-38.8828,23.21,76,30,2.52,BR,1718063596
132,xichang,27.8964,102.2634,20.36,88,90,1.47,CN,1718063596
133,bel ombre,-4.6167,55.4167,27.91,83,40,3.6,SC,1718063596
134,kayangel,8.0823,134.7173,29.42,71,100,4.27,PW,1718063596
135,lima duarte,-21.8425,-43.7931,15.78,84,5,1.12,BR,1718063596
136,brokopondo,4.75,-55.1667,27.04,79,92,2.97,SR,1718063596
137,manismata,-2.4667,111.0333,25.14,95,99,1.31,ID,1718063596
138,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,86,0,5.0,RU,1718063596
139,hawaiian paradise park,19.5933,-154.9731,27.73,71,75,4.63,US,1718063596
140,hermanus,-34.4187,19.2345,17.67,53,98,4.83,ZA,1718063350
141,thurso,58.5927,-3.5259,8.14,88,100,6.88,GB,1718063596
142,ar rutbah,33.0381,40.2848,26.3,29,0,5.5,IQ,1718063596
143,big rapids,43.6981,-85.4837,18.28,27,0,3.09,US,1718063475
144,wailua homesteads,22.0669,-159.378,29.24,72,20,6.69,US,1718063596
145,la passe,45.5549,-0.8967,14.43,85,100,3.28,FR,1718063596
146,medicine hat,50.0501,-110.6683,24.24,43,75,6.69,CA,1718063043
147,atherton,53.5237,-2.4935,11.08,82,75,0.89,GB,1718063596
148,santa rosa de rio primero,-31.1523,-63.4019,15.5,48,91,2.52,AR,1718063597
149,yeppoon,-23.1333,150.7333,20.14,47,1,3.32,AU,1718063597
150,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1718063597
151,piti village,13.4626,144.6933,30.17,87,75,5.14,GU,1718063597
152,kijang,35.2442,129.2139,21.85,64,34,2.32,KR,1718063597
153,igarka,67.4667,86.5833,11.72,74,93,2.29,RU,1718063597
154,wladyslawowo,54.7909,18.4009,11.08,79,71,3.55,PL,1718063597
155,isafjordur,66.0755,-23.124,4.52,81,95,1.44,IS,1718063597
